bibItem,creatorstatement,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://monumenta.wikibase.cloud/entity/Q312,https://monumenta.wikibase.cloud/entity/statement/Q312-FE6CCA87-ADC3-4B73-A8E7-4126EA418C1E,1,José Francisco,Irigoyen,José Francisco Irigoyen,José Francisco Irigoyen,José Francisco Irigoyen,José Francisco Irigoyen
https://monumenta.wikibase.cloud/entity/Q284,https://monumenta.wikibase.cloud/entity/statement/Q284-405CE461-8487-43D2-9BBB-E81AEAC2B9C8,1,Martin,Itziar ta Agirre,Martin Itziar ta Agirre,Martin Itziar ta Agirre,Martin Itziar ta Agirre,Martin Itziar ta Agirre
https://monumenta.wikibase.cloud/entity/Q290,https://monumenta.wikibase.cloud/entity/statement/Q290-A49C8076-E76C-4716-9FCE-9520D50B77BB,1,Candido,Izagirre,Candido Izagirre,Candido Izagirre,Candido Izagirre,Candido Izagirre
https://monumenta.wikibase.cloud/entity/Q353,https://monumenta.wikibase.cloud/entity/statement/Q353-B3415EAA-A0B2-43DF-8217-B2DD4846F743,1,Cándido,Izaguirre,Cándido Izaguirre,Cándido Izaguirre,Cándido Izaguirre,Cándido Izaguirre
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-88C20B5D-6EDF-4349-B8DA-6E0F96559B28,2,Jerker,Järborg,Jerker Järborg,Jerker Järborg,Jerker Järborg,Jerker Järborg
https://monumenta.wikibase.cloud/entity/Q375,https://monumenta.wikibase.cloud/entity/statement/Q375-DE84ED76-8B0D-4241-9627-089ECE95F5DD,1,A. M.,Labaien,A. M. Labaien,A. M. Labaien,A. M. Labaien,A. M. Labaien
https://monumenta.wikibase.cloud/entity/Q352,https://monumenta.wikibase.cloud/entity/statement/Q352-1235DDAF-1068-42EE-8747-A7885237BD80,1,Vicente,Laffitte,Vicente Laffitte,Vicente Laffitte,Vicente Laffitte,Vicente Laffitte
https://monumenta.wikibase.cloud/entity/Q356,https://monumenta.wikibase.cloud/entity/statement/Q356-6BE583E3-EB8E-4263-A853-4D81985482FF,1,Vicente,Laffitte,Vicente Laffitte,Vicente Laffitte,Vicente Laffitte,Vicente Laffitte
https://monumenta.wikibase.cloud/entity/Q434,https://monumenta.wikibase.cloud/entity/statement/Q434-8E11CD13-9A8E-4562-8255-5B1C4E2B1D86,1,P.,Lafitte,P. Lafitte,P. Lafitte,P. Lafitte,P. Lafitte
https://monumenta.wikibase.cloud/entity/Q253,https://monumenta.wikibase.cloud/entity/statement/Q253-941C73D5-A044-4E0E-806B-FEC4E8565FF1,1,Nicola,Landucci,Nicola Landucci,Nicola Landucci,Nicola Landucci,Nicola Landucci
https://monumenta.wikibase.cloud/entity/Q254,https://monumenta.wikibase.cloud/entity/statement/Q254-ED0FFE78-5ECF-423D-8886-AB085CB9A557,1,Nicola,Landucci,Nicola Landucci,Nicola Landucci,Nicola Landucci,Nicola Landucci
