bibItem,creatorstatement,listpos,fullName,fullName_recon_Wikidata,Wikidata_Qid,givenName,lastName,creatoritem
https://monumenta.wikibase.cloud/entity/Q422,https://monumenta.wikibase.cloud/entity/statement/Q422-3D16A3C3-87F0-4302-B4FE-D446A815E7D4,2,César Gallastegi,César Gallastegi,,César,Gallastegi,t10227
https://monumenta.wikibase.cloud/entity/Q422,https://monumenta.wikibase.cloud/entity/statement/Q422-9CEF9267-0F1B-470D-B47D-B9BBC24C104C,1,Andrés Urrutia,Andres Urrutia,Q2846535,Andrés,Urrutia,t10280
https://monumenta.wikibase.cloud/entity/Q424,https://monumenta.wikibase.cloud/entity/statement/Q424-EE150AE5-BA72-4951-B3C0-0A4730AEF632,1,José Mari Arriola Egurrola,Jose Mari Arriola Egurrola,Q107903609,José Mari,Arriola Egurrola,t10232
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-073A627E-DA4D-45B4-B37A-D0B3F11EE4A8,5,Nerea Ezeiza,Nerea Ezeiza,Q113578318,Nerea,Ezeiza,t10218
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-6E3D6FFE-0D29-4BD8-88E0-33EA04C7EBB6,4,Xabier Artola,Xabier Artola Zubillaga,Q12269005,Xabier,Artola,t10289
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-76C52053-7449-4B40-AF3A-317DE2560CEA,2,Izaskun Aldezabal,Izaskun Aldezabal Roteta,Q105669199,Izaskun,Aldezabal,t10226
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-8409C9EB-0079-4EFB-AA44-6D1FFC319C73,3,Iñaki Alegria,Iñaki Alegria,Q16517758,Iñaki,Alegria,t10265
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-86D3B30A-5E48-46CA-B146-1A305BEC2D3C,1,Itziar Aduriz,Itziar Aduriz,Q102040060,Itziar,Aduriz,t10264
https://monumenta.wikibase.cloud/entity/Q425,https://monumenta.wikibase.cloud/entity/statement/Q425-FAB48E8A-A60D-402A-A426-9A6D6275F888,6,Ruben Urizar,Ruben Urizar Enbeita,Q107851251,Ruben,Urizar,t10213
https://monumenta.wikibase.cloud/entity/Q426,https://monumenta.wikibase.cloud/entity/statement/Q426-E80A8A02-3336-4310-A344-C7CBD3E5D3A7,1,Julen Arriolabengoa,Julen Arriolabengoa,Q12261106,Julen,Arriolabengoa,t10247
https://monumenta.wikibase.cloud/entity/Q427,https://monumenta.wikibase.cloud/entity/statement/Q427-B0A16662-89B2-4CCF-9126-44120B89D766,1,Jesús Arzamendi Sáez de Ibarra,Jesús Arzamendi Sáez de Ibarra,,Jesús,Arzamendi Sáez de Ibarra,t10309
https://monumenta.wikibase.cloud/entity/Q428,https://monumenta.wikibase.cloud/entity/statement/Q428-38F445C2-8351-42C4-BD10-7455965782A0,1,Joseba Andoni Lakarra,Joseba Lakarra,Q941098,Joseba Andoni,Lakarra,t10308
https://monumenta.wikibase.cloud/entity/Q430,https://monumenta.wikibase.cloud/entity/statement/Q430-B490F171-A694-459F-80C3-FB338A9331B7,1,Julien Vinson,Julien Vinson,Q3189701,Julien,Vinson,t10248
https://monumenta.wikibase.cloud/entity/Q431,https://monumenta.wikibase.cloud/entity/statement/Q431-282E4A12-29B4-4607-8504-E56D05AB2797,3,Sahats Ugartetxea,Sahats Ugartetxea,,Sahats,Ugartetxea,t10224
https://monumenta.wikibase.cloud/entity/Q431,https://monumenta.wikibase.cloud/entity/statement/Q431-2D0CFFD1-B788-4E38-B826-163DFEA14575,2,Xabier Saralegi,Xabier Saralegi,Q105668997,Xabier,Saralegi,t10281
https://monumenta.wikibase.cloud/entity/Q431,https://monumenta.wikibase.cloud/entity/statement/Q431-2F41CFD1-7DC4-4F4E-BD46-B3E9D1426161,4,Iñaki Alegria,Iñaki Alegria,Q16517758,Iñaki,Alegria,t10229
https://monumenta.wikibase.cloud/entity/Q431,https://monumenta.wikibase.cloud/entity/statement/Q431-B8F522EA-F31E-4A2E-BCDA-C224BE89400B,1,Antton Gurrutxaga,Antton Gurrutxaga,Q65659267,Antton,Gurrutxaga,t10217
https://monumenta.wikibase.cloud/entity/Q433,https://monumenta.wikibase.cloud/entity/statement/Q433-35D45379-E1AE-4372-9FF2-C51CF63A171F,1,Resurrección María Azkue,Resurrección María de Azkue,Q3109903,Resurrección María,Azkue,t10291
https://monumenta.wikibase.cloud/entity/Q434,https://monumenta.wikibase.cloud/entity/statement/Q434-8E11CD13-9A8E-4562-8255-5B1C4E2B1D86,1,P. Lafitte,P. Lafitte,,P.,Lafitte,t10889
