item,itemLabel,P15_literal,P15_recon
https://monumenta.wikibase.cloud/entity/Q803,Zirkulazioa hiztegia,Vitoria-Gasteiz,Vitoria-Gasteiz
https://monumenta.wikibase.cloud/entity/Q233,"Gramatica escuaraz eta francesez, composatua francez hitzcunça ikhaſi nahi dutenen faboretan",Bayonan,Bayonan
https://monumenta.wikibase.cloud/entity/Q239,Glossaria duo Vasco-Islandica,Amsterdam,Amsterdam
https://monumenta.wikibase.cloud/entity/Q441,Basque Compound Nouns and Generative Morphology: Some data,Amsterdam,Amsterdam
https://monumenta.wikibase.cloud/entity/Q240,"Grammaire Cantabrique Basque, faite par Pierre d' Urte 1712: Manuscrit de la Bibliothèque du comte de Macclesfield",Bagnères-de-Bigorre,Bagnères-de-Bigorre
https://monumenta.wikibase.cloud/entity/Q244,"L'interprect ou Traduction du français, espagnol & basque",Leioa,Leioa
https://monumenta.wikibase.cloud/entity/Q236,"De la Antiguedad y universalidad del Bascuenze en España: de Sus perfecciones y ventajas sobre otras muchas Lenguas, Demostracion previa al Arte, que se dará á luz desta Lengua",Salamanca,Salamanca
https://monumenta.wikibase.cloud/entity/Q328,Vocabulario del Refranero vizcaino de 1596,Salamanca,Salamanca
https://monumenta.wikibase.cloud/entity/Q245,Anciens proverbes basques et gascons recueillis por Voltoire et reunis au jour par G. B.,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q268,Petit dictionnaire basque,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q275,Lexique français-basque,Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q291,"Dictionnaire français-basque, par M.-H.-L. Fabre",Bayonne,Bayonne
https://monumenta.wikibase.cloud/entity/Q292,"Dictionnaire basque, français, espagnol et latin D'après les meilleurs auteurs classiques et les Dictionnaires des Académies française et espagnole ..",Bayonne,Bayonne
